Part\#,PartType,MPN,SKU,FarnellLink,DigiKeyLink,MouserLink,InternalName,Value,Footprint,Found in: 
ANT_UHF1,ANTENNA-CONN-U-FL_3P_,RECE-20279-001E-01,320110048,,,,,ANTENNA-CONN-U-FL_3P_,SeeedOPL-Connector-2016:U-FL3P-SMD-2.6X2.6X1.0MM,nestbox_lora.sch
BT1,Battery-RESCUE-Nestbox_v1,,,,,,,Battery,Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight,nestbox_power.sch
C1,CERAMIC-100NF-50V-10%-X7R_0603_,CC0603KRX7R9BB104,302010138,,,,,CERAMIC-100NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,Nestbox_v1.sch
C2,CERAMIC-12PF-50V-5%-NPO_0603_,CC0603JRNPO9BN120,302010067,,,,,CERAMIC-12PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,Nestbox_v1.sch
C3,CERAMIC-12PF-50V-5%-NPO_0603_,CC0603JRNPO9BN120,302010067,,,,,CERAMIC-12PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,Nestbox_v1.sch
C4,CERAMIC-10UF-25V-10%-X5R_0805_,CC0805KKX5R8BB106,302010178,,,,,CERAMIC-10UF-25V-10%-X5R_0805_,SeeedOPL-Capacitor-2016:C0805,Nestbox_v1.sch
C5,CERAMIC-100NF-50V-10%-X7R_0603_,CC0603KRX7R9BB104,302010138,,,,,CERAMIC-100NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,Nestbox_v1.sch
C6,CERAMIC-10PF-50V-5%-NPO_0603_,CC0603JRNPO9BN100,302010097,,,,,CERAMIC-10PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C7,CERAMIC-1NF-50V-10%-X7R_0603_,CC0603KRX7R9BB102,302010141,,,,,CERAMIC-1NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C8,CERAMIC-10PF-50V-5%-NPO_0603_,CC0603JRNPO9BN100,302010097,,,,,CERAMIC-10PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C9,CERAMIC-100NF-50V-10%-X7R_0603_,CC0603KRX7R9BB104,302010138,,,,,CERAMIC-100NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C10,CERAMIC-1UF-25V-10%-X7R_0603_,CC0603KRX7R8BB105,302010139,,,,,CERAMIC-1UF-25V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C11,CERAMIC-10NF-50V-10%-X7R_0603_,CC0603KRX7R9BB103,302010140,,,,,CERAMIC-10NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C12,CERAMIC-100PF-50V-5%-NPO_0603_,CC0603JRNPO9BN101,302010076,,,,,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C13,CERAMIC-100PF-50V-5%-NPO_0603_,CC0603JRNPO9BN101,302010076,,,,,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C14,CERAMIC-1UF-25V-10%-X7R_0603_,CC0603KRX7R8BB105,302010139,,,,,CERAMIC-1UF-25V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C15,CERAMIC-100PF-50V-5%-NPO_0603_,CC0603JRNPO9BN101,302010076,,,,,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C16,CERAMIC-100PF-50V-5%-NPO_0603_,CC0603JRNPO9BN101,302010076,,,,,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C17,CERAMIC-10NF-50V-10%-X7R_0603_,CC0603KRX7R9BB103,302010140,,,,,CERAMIC-10NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C18,CERAMIC-100NF-50V-10%-X7R_0603_,CC0603KRX7R9BB104,302010138,,,,,CERAMIC-100NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,nestbox_Reader_IC.sch
C19,CERAMIC-47PF-50V-5%-NP0_0402_,CC0402JRNPO9BN470,302010007,,,,,CERAMIC-47PF-50V-5%-NP0_0402_,SeeedOPL-Capacitor-2016:C0402,nestbox_Reader_IC.sch
C20,C,,,,,,,DNP,Capacitors_SMD:C_0603,nestbox_Reader_IC.sch
C21,C,,,,,,,DNP,Capacitors_SMD:C_0603,nestbox_Reader_IC.sch
C22,CERAMIC-47PF-50V-5%-NP0_0402_,CC0402JRNPO9BN470,302010007,,,,,CERAMIC-47PF-50V-5%-NP0_0402_,SeeedOPL-Capacitor-2016:C0402,nestbox_Reader_IC.sch
C23,C,GQM1875C2E820JB12D,,,,,,82pF,Capacitors_SMD:C_0603,nestbox_Reader_IC.sch
C24,C,,,,,,,DNP,Capacitors_SMD:C_0603,nestbox_Reader_IC.sch
C25,C,,,,,,,DNP,Capacitors_SMD:C_0603,nestbox_Reader_IC.sch
C26,CERAMIC-10UF-25V-10%-X5R_0805_,CC0805KKX5R8BB106,302010178,,,,,CERAMIC-10UF-25V-10%-X5R_0805_,SeeedOPL-Capacitor-2016:C0805,nestbox_power.sch
C27,CERAMIC-22UF-6.3V-20%-X5R_0805_,CC0805MKX5R5BB226,302010171,,,,,CERAMIC-22UF-6.3V-20%-X5R_0805_,SeeedOPL-Capacitor-2016:C0805,nestbox_power.sch
C28,CERAMIC-22UF-6.3V-20%-X5R_0805_,CC0805MKX5R5BB226,302010171,,,,,CERAMIC-22UF-6.3V-20%-X5R_0805_,SeeedOPL-Capacitor-2016:C0805,nestbox_power.sch
C29,CERAMIC-100NF-50V-10%-X7R_0603_,CC0603KRX7R9BB104,302010138,,,,,CERAMIC-100NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,Nestbox_v1.sch
D1,LED-RESCUE-Nestbox_v1,720-SFH4646Z,,,,,,SFH 4646,Octanis3:MIDLED,Nestbox_v1.sch
D2,SMD-LED-CLEAR-GREEN_0603_,19-217-G7C-AN1P2-3T,304090043,,,,,SMD-LED-CLEAR-GREEN_0603_,SeeedOPL-LED-2016:LED-0603,Nestbox_v1.sch
D3,SMD-LED-CLEAR-BLUE_0603_,19-217-BHC-ZL1M2RY-3T,304090045,,,,,SMD-LED-CLEAR-BLUE_0603_,SeeedOPL-LED-2016:LED-0603,Nestbox_v1.sch
FI1,EMI_FILTER,NFM18PS105R0J3D,,,,,,NFM18PS105R0J3D,murata-filter:NFM18PS,nestbox_Reader_IC.sch
JP1,JUMPER,969102-0000-DA,,,,,,JUMPER,Socket_Strips:Socket_Strip_Straight_1x02,nestbox_power.sch
JP2,JUMPER,969102-0000-DA,,,,,,JUMPER,Socket_Strips:Socket_Strip_Straight_1x02,nestbox_power.sch
L1,SMD-FERRITE-BEAD-2500R-50MA_0603_,BLM18BD252SN1D,303030020,,,,,SMD-FERRITE-BEAD-2500R-50MA_0603_,SeeedOPL-Inductor-2016:L0603,Nestbox_v1.sch
L2,INDUCTOR_SMALL,742792042,,,,,,742792042,Resistors_SMD:R_0805,nestbox_Reader_IC.sch
L3,INDUCTOR_SMALL,CV201210-R56K,,,,,,560nH,Resistors_SMD:R_0805,nestbox_Reader_IC.sch
L4,INDUCTOR_SMALL,CV201210-R56K,,,,,,560nH,Resistors_SMD:R_0805,nestbox_Reader_IC.sch
L5,INDUCTOR_SMALL,742792042,,,,,,742792042,Resistors_SMD:R_0805,nestbox_Reader_IC.sch
L6,INDUCTOR_SMALL,742792093,,,,,,742792093,Resistors_SMD:R_0805,nestbox_Reader_IC.sch
L7,INDUCTOR,XFL4020-102MEC,,,,,,XFL4020-102ME,Octanis3:XFL4020,nestbox_power.sch
P1,CONN_01X02,,,,,,,RX/TX,Socket_Strips:Socket_Strip_Straight_1x02,Nestbox_v1.sch
P2,CONN_01X02,,,,,,,TST/RST,Socket_Strips:Socket_Strip_Straight_1x02,Nestbox_v1.sch
P3,CONN_01X02,,,,,,,VDD/GND,Socket_Strips:Socket_Strip_Straight_1x02,Nestbox_v1.sch
P4,CONN_01X03,,,,,,,NFC_PWR_SEL,Socket_Strips:Socket_Strip_Straight_1x03,nestbox_power.sch
PB1,CONN_01X02,,,,,,,LIGHT_BARRIER1,Socket_Strips:Socket_Strip_Straight_1x02,Nestbox_v1.sch
PB2,CONN_01X02,,,,,,,LIGHT_BARRIER2,Socket_Strips:Socket_Strip_Straight_1x02,Nestbox_v1.sch
Q1,OPTO_NPN,SFH 3605-Z,,,,,,SFH 3605,Octanis3:MIDLED_phototransistor,Nestbox_v1.sch
Q2,OPTO_NPN,SFH 3605-Z,,,,,,SFH 3605,Octanis3:MIDLED_phototransistor,Nestbox_v1.sch
R1,SMD-RES-100R-5%-1_10W_0603_,RC0603JR-07100RL,301010090,,,,,SMD-RES-100R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
R2,R,,,,,,,R_OPTO,Resistors_SMD:R_0603,Nestbox_v1.sch
R3,R,,,,,,,DNP,Resistors_SMD:R_0603,Nestbox_v1.sch
R4,R,,,,,,,DNP,Resistors_SMD:R_0603,Nestbox_v1.sch
R5,SMD-RES-1K-5%-1_10W_0603_,RC0603JR-071KL,301010291,,,,,SMD-RES-1K-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
R6,SMD-RES-1K-5%-1_10W_0603_,RC0603JR-071KL,301010291,,,,,SMD-RES-1K-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
R7,SMD-RES-10K-1%-1_10W_0603_,RC0603FR-0710KL,301010299,,,,,SMD-RES-10K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
R8,SMD-RES-3.3K-1%-1_10W_0603_,RC0603FR-073K3L,301010251,,,,,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R9,R,,,,,,,DNP,Resistors_SMD:R_0603,nestbox_Reader_IC.sch
R10,SMD-RES-0R-5%-1_10W_0603_,RC0603JR-070RL,301010292,,,,,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R11,SMD-RES-3.3K-1%-1_10W_0603_,RC0603FR-073K3L,301010251,,,,,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R12,R,,,,,,,DNP,Resistors_SMD:R_0603,nestbox_Reader_IC.sch
R13,SMD-RES-0R-5%-1_10W_0603_,RC0603JR-070RL,301010292,,,,,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R14,SMD-RES-0R-5%-1_10W_0603_,RC0603JR-070RL,301010292,,,,,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R15,R,,,,,,,DNP,Resistors_SMD:R_0603,nestbox_Reader_IC.sch
R16,SMD-RES-3.3K-1%-1_10W_0603_,RC0603FR-073K3L,301010251,,,,,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R17,R,,,,,,,DNP,Resistors_SMD:R_0603,nestbox_Reader_IC.sch
R18,SMD-RES-0R-5%-1_10W_0603_,RC0603JR-070RL,301010292,,,,,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R19,SMD-RES-3.3K-1%-1_10W_0603_,RC0603FR-073K3L,301010251,,,,,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R20,SMD-RES-3.3K-1%-1_10W_0603_,RC0603FR-073K3L,301010251,,,,,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R21,SMD-RES-330R-1%-1_10W_0603_,RC0603FR-07330RL,301010300,,,,,SMD-RES-330R-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R22,SMD-RES-330R-1%-1_10W_0603_,RC0603FR-07330RL,301010300,,,,,SMD-RES-330R-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_Reader_IC.sch
R23,R,,,,,,,DNP,Resistors_SMD:R_0603,nestbox_Reader_IC.sch
R24,SMD-RES-560K-5%-1_10W_0603_,RC0603JR-07560KL,301010230,,,,,SMD-RES-560K-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_power.sch
R25,R,RR0816P-184-D,,,,,,180k,Resistors_SMD:R_0603,nestbox_power.sch
R26,SMD-RES-10K-1%-1_10W_0603_,RC0603FR-0710KL,301010299,,,,,SMD-RES-10K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,nestbox_lora.sch
R27,DIP-RES-47K-5%-1_4W_PR-D2.3XL6.5MM_,FHCFR-1_4W-473J,,,,,,47K,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
R28,R,,,,,,,R_OPTO,Resistors_SMD:R_0603,Nestbox_v1.sch
R29,R,,,,,,,DNP,Resistors_SMD:R_0603,Nestbox_v1.sch
R30,SMD-RES-10K-1%-1_10W_0603_,RC0603FR-0710KL,301010299,,,,,SMD-RES-10K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,Nestbox_v1.sch
